App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Garena Free Fire - Rampage,com.dts.freefireth,Action,4.2,89177097,"500,000,000+",500000000,976536041,TRUE,0,USD,Varies with device,4.1 and up,GARENA INTERNATIONAL I PRIVATE LIMITED,https://ff.garena.com,freefire@garena.com,7-Dec-17,4-Jun-21,Mature 17+,https://ff.garena.com/others/policy/en/,FALSE,TRUE,TRUE,6/16/2021 0:32
Temple Run 2,com.imangi.templerun2,Action,4.2,9649311,"500,000,000+",500000000,837218010,TRUE,0,USD,130M,4.4 and up,Imangi Studios,http://www.imangistudios.com/contact.html,support-tr2@imangistudios.com,23-Jan-13,8-Jun-21,Everyone,http://imangistudios.com/privacy/privacy-policy.htm,TRUE,TRUE,TRUE,6/16/2021 14:28
Sniper 3D: Fun Free Online FPS Shooting Game,com.fungames.sniper3d,Action,4.4,1285629,"500,000,000+",500000000,518325903,TRUE,0,USD,136M,4.4 and up,Fun Games For Free,https://wildlifestudios.com/,support+sniper3d@fungames-forfree.com,13-Nov-14,4-Jun-21,Mature 17+,https://www.fungames-forfree.com/games/sniper3d/legal/privacy,TRUE,TRUE,FALSE,6/15/2021 23:05
PUBG MOBILE - Traverse,com.tencent.ig,Action,4.3,37479011,"500,000,000+",500000000,505818718,TRUE,0,USD,Varies with device,Varies with device,PROXIMA BETA,,PUBGMOBILE_CS@tencentgames.com,19-Mar-18,10-May-21,Teen,http://pubgmobile.proximabeta.com/privacy.html,TRUE,TRUE,TRUE,6/15/2021 21:17
slither.io,air.com.hypah.io.slither,Action,4.1,6527424,"100,000,000+",100000000,487164438,TRUE,0,USD,Varies with device,2.3 and up,Lowtech Studios,http://slither.io,team@slither.io,25-Mar-16,20-Dec-19,Everyone,http://slither.io/privacyapp/,TRUE,TRUE,FALSE,6/16/2021 6:28
Roblox,com.roblox.client,Adventure,4.4,22148032,"100,000,000+",100000000,427633153,TRUE,0,USD,96M,4.4 and up,Roblox Corporation,http://www.roblox.com,info@roblox.com,15-Jul-14,10-Jun-21,Everyone 10+,http://www.roblox.com/info/Privacy.aspx,FALSE,TRUE,FALSE,6/16/2021 5:45
Pokémon GO,com.nianticlabs.pokemongo,Adventure,4.1,14562086,"100,000,000+",100000000,404699958,TRUE,0,USD,Varies with device,6.0 and up,"Niantic, Inc.",https://niantic.helpshift.com/a/pokemon-go/?p=web,pokemon-go-support@nianticlabs.com,6-Jul-16,11-Jun-21,Everyone,https://nianticlabs.com/privacy/pokemongo/en,FALSE,TRUE,TRUE,6/16/2021 9:03
Criminal Case,com.prettysimple.criminalcaseandroid,Adventure,4.5,4275556,"100,000,000+",100000000,163379217,TRUE,0,USD,Varies with device,4.1 and up,Pretty Simple,https://www.prettysimplegames.com/,help@prettysimplegames.com,15-Apr-15,3-Dec-20,Teen,http://www.prettysimplegames.com/about/privacy-policy/,TRUE,TRUE,FALSE,6/15/2021 20:44
FPS Commando Secret Mission - Free Shooting Games,com.sgs.antiterrorism.counterattack.commandomissiongame,Adventure,4,252165,"100,000,000+",100000000,130106307,TRUE,0,USD,30M,4.4 and up,Hazel Mobile Games,http://standardgamesstudio.com/,hazelmobilegames@gmail.com,9-Mar-20,29-May-21,Teen,https://sites.google.com/view/hazelmobilegames/home,TRUE,TRUE,FALSE,6/16/2021 11:31
Subway Surfers,com.kiloo.subwaysurf,Arcade,4.6,5304826,"1,000,000,000+",1000000000,1704495994,TRUE,0,USD,187M,4.4 and up,SYBO Games,https://sybogames.com/,subwaysurfers@sybo.zendesk.com,20-Sep-12,10-Jun-21,Everyone 10+,https://sybogames.com/privacy-policy/,TRUE,TRUE,TRUE,6/16/2021 9:00
Temple Run,com.imangi.templerun,Arcade,4.1,4831552,"500,000,000+",500000000,625467333,TRUE,0,USD,46M,4.4 and up,Imangi Studios,http://www.imangistudios.com/contact.html,support-tr@imangistudios.com,26-Mar-12,26-Apr-21,Everyone,http://imangistudios.com/privacy/privacy-policy.htm,TRUE,TRUE,FALSE,6/16/2021 12:01
Fruit Ninja®,com.halfbrick.fruitninjafree,Arcade,4.3,5371690,"500,000,000+",500000000,500306392,TRUE,0,USD,125M,4.4 and up,Halfbrick Studios,http://halfbrick.com,fruitninja@halfbrick.com,20-Jul-11,4-Jun-21,Everyone,http://www.halfbrick.com/pp,TRUE,TRUE,TRUE,6/16/2021 10:50
Zombie Tsunami,net.mobigame.zombietsunami,Arcade,4.4,5911794,"100,000,000+",100000000,395942266,TRUE,0,USD,67M,4.4 and up,Mobigame S.A.R.L.,http://www.mobigame.net,androidsupport.zombietsunami@mobigame.zendesk.com,10-Sep-13,13-Apr-21,Everyone 10+,http://mobigame.net/legal/privacy.html,TRUE,TRUE,FALSE,6/16/2021 7:56
"Canva: Graphic Design, Video Collage, Logo Maker",com.canva.editor,Art & Design,4.7,5213141,"100,000,000+",100000000,134619454,TRUE,0,USD,32M,5.0 and up,Canva,https://www.canva.com/,android-app@canva.com,27-Nov-17,16-Jun-21,Everyone,https://about.canva.com/privacy-policy/,FALSE,TRUE,TRUE,6/16/2021 7:17
PENUP - Share your drawings,com.sec.penup,Art & Design,4.5,110808,"100,000,000+",100000000,117455990,TRUE,0,USD,28M,6.0 and up,"Samsung Electronics Co.,  Ltd.",https://www.penup.com/intro,noreply.sec@samsung.com,7-Sep-13,18-May-21,Teen,https://account.samsung.com/membership/pp,FALSE,FALSE,FALSE,6/16/2021 5:47
ibis Paint X,jp.ne.ibis.ibispaintx.app,Art & Design,4.5,1577731,"100,000,000+",100000000,100950900,TRUE,0,USD,27M,4.1 and up,ibis inc.,https://ibispaint.com/,mob-paint-support@ibis.ne.jp,27-Feb-14,16-Jun-21,Everyone,https://ibispaint.com/privacy.jsp#policy,TRUE,TRUE,FALSE,6/16/2021 4:21
Glitter dress coloring and drawing book for Kids,com.redberry.glitterdressa2,Art & Design,4,1724,"10,000,000+",10000000,34406443,TRUE,0,USD,66M,5.0 and up,BaramGames,https://baramgames.com/,info@baramgames.com,20-Aug-19,27-May-21,Everyone,https://baramgames.com/privacy-policy/,TRUE,FALSE,FALSE,6/15/2021 22:23
Flipaclip: Cartoon Animation Creator & Art Studio,com.vblast.flipaclip,Art & Design,4.2,475419,"10,000,000+",10000000,32068539,TRUE,0,USD,71M,5.0 and up,Visual Blasters LLC,https://www.flipaclip.com,flipaclip@visualblasters.com,2-Apr-12,28-May-21,Everyone,http://www.visualblasters.com/flipaclip-privacy-policy.html,TRUE,TRUE,TRUE,6/16/2021 2:27
Android Auto,com.google.android.projection.gearhead,Auto & Vehicles,4.3,1824861,"1,000,000,000+",1000000000,1976625745,TRUE,0,USD,Varies with device,Varies with device,Google LLC,http://www.android.com/auto,android-auto-app@google.com,19-Mar-15,15-Jun-21,Teen,http://www.google.com/policies/privacy,FALSE,FALSE,FALSE,6/16/2021 3:11
AutoScout24: Buy & sell cars,com.autoscout24,Auto & Vehicles,4.5,289489,"10,000,000+",10000000,32747873,TRUE,0,USD,43M,5.0 and up,AutoScout24 GmbH,http://www.autoscout24.de,apps-de@autoscout24.com,7-Apr-15,10-Jun-21,Everyone,http://about.autoscout24.com/de-de/au-company/au-company-privacy.aspx,TRUE,FALSE,FALSE,6/16/2021 8:48
"maxim — order taxi, food and groceries delivery",com.taxsee.taxsee,Auto & Vehicles,4.8,977729,"10,000,000+",10000000,25948237,TRUE,0,USD,Varies with device,Varies with device,Taxi booking and delivery service,http://taximaximapp.com/,support@taximaxim.com,9-Jun-12,19-May-21,Everyone,https://taximaxim.com/ru/en/term/policy-client/,FALSE,FALSE,FALSE,6/16/2021 4:15
mobile.de – Germany‘s largest car market,de.mobile.android.app,Auto & Vehicles,4.6,140230,"10,000,000+",10000000,21481894,TRUE,0,USD,Varies with device,Varies with device,mobile.de GmbH,https://www.mobile.de,service@team.mobile.de,14-Apr-20,11-Jun-21,Everyone,https://www.mobile.de/service/privacyPolicy,TRUE,FALSE,FALSE,6/16/2021 10:23
Speed Camera Radar,com.lelic.speedcam,Auto & Vehicles,4.4,67363,"10,000,000+",10000000,14768857,TRUE,0,USD,13M,4.1 and up,Road Soft,http://radardetector.biz,lelic.dev@gmail.com,2-Nov-13,8-Apr-21,Everyone,http://radardetector.biz/privacy.html,TRUE,TRUE,FALSE,6/16/2021 12:13
Perfect365: One-Tap Makeover,com.arcsoft.perfect365,Beauty,4.3,780880,"50,000,000+",50000000,53849836,TRUE,0,USD,112M,5.0 and up,"Perfect365, Inc.",http://perfect365.com/,android@perfect365.com,19-Feb-13,7-Jun-21,Everyone,http://www.perfect365.com/about/privacy-policy/,TRUE,TRUE,FALSE,6/16/2021 11:30
Mirror Plus: Mirror with Light for Makeup & Beauty,mmapps.mirror.free,Beauty,4.3,387411,"10,000,000+",10000000,41505377,TRUE,0,USD,Varies with device,Varies with device,"Digitalchemy, LLC",https://www.digitalchemy.us/,mirrorplus@digitalchemy.us,8-Jan-12,26-Mar-21,Everyone,http://privacy.mmappsmobile.com/mmappsmobile/mirror/privacy-policy-en.pdf,TRUE,TRUE,FALSE,6/16/2021 3:47
"Beauty Makeup Editor: Beauty Camera, Photo Editor",com.lyrebirdstudio.beauty,Beauty,4.1,208916,"10,000,000+",10000000,32076828,TRUE,0,USD,Varies with device,Varies with device,Lyrebird Studio,https://lyrebirdstudio.net,lyrebirdstudio@gmail.com,20-Jan-16,1-Nov-20,Everyone,http://lyrebirdstudio.net/privacy.txt,TRUE,TRUE,FALSE,6/16/2021 3:05
Beauty Camera - Selfie Camera,com.northpark.beautycamera,Beauty,4.1,117171,"10,000,000+",10000000,23919811,TRUE,0,USD,Varies with device,Varies with device,Photo Editor & Collage Maker,http://photoeditorapps.com/,beautycamera.photo@gmail.com,20-Aug-11,27-Sep-20,Everyone,http://www.northparkapp.com/privacypolicy.html,TRUE,FALSE,FALSE,6/16/2021 3:36
Fashion Nails 3D Girls Game,com.Fashion.Nails.Girls.Game,Beauty,3.7,3451,"10,000,000+",10000000,16085429,TRUE,0,USD,39M,4.1 and up,Webelinx Love Story Games,,toptrendingapps@gmail.com,13-Feb-15,3-Nov-20,Everyone,https://toptrendingapps.wixsite.com/toptrending/privacy-policy-1,TRUE,FALSE,FALSE,6/15/2021 22:46
Ludo King™,com.ludo.king,Board,4.2,7630921,"500,000,000+",500000000,589524427,TRUE,0,USD,49M,4.4 and up,Gametion Technologies Pvt Ltd,https://www.gametion.com/,support@ludoking.com,17-Dec-16,26-May-21,Everyone,https://www.gametion.com/privacypolicy.htm,TRUE,TRUE,FALSE,6/16/2021 5:13
Chess,com.jetstartgames.chess,Board,4.3,1588738,"100,000,000+",100000000,220484354,TRUE,0,USD,2.8M,4.1 and up,Chess Prince,http://chess-prince.com,help.chess@mail.ru,25-Jun-15,28-May-21,Everyone,,TRUE,TRUE,FALSE,6/15/2021 21:18
